ID,Sales
T1188341,54899.077338399664
T1188342,34932.32163462763
T1188343,59273.69300619586
T1188344,34932.32163462763
T1188345,34932.32163462763
T1188346,59273.69300619586
T1188347,54899.077338399664
T1188348,43271.02630690606
T1188349,47040.849860292285
T1188350,31560.852147576
T1188351,47040.849860292285
T1188352,34932.32163462763
T1188353,34932.32163462763
T1188354,38012.8777397436
T1188355,38012.8777397436
T1188356,28447.41298576741
T1188357,43296.3547517914
T1188358,21862.797443081257
T1188359,34932.32163462763
T1188360,47040.849860292285
T1188361,26740.996863512835
T1188362,37978.33359483273
T1188363,38012.8777397436
T1188364,26740.996863512835
T1188365,37978.33359483273
T1188366,28447.41298576741
T1188367,34932.32163462763
T1188368,29600.153052763417
T1188369,34932.32163462763
T1188370,45370.709214633294
T1188371,34932.32163462763
T1188372,47040.849860292285
T1188373,28447.41298576741
T1188374,28447.41298576741
T1188375,59273.69300619586
T1188376,55146.89142284951
T1188377,28447.41298576741
T1188378,34932.32163462763
T1188379,26709.73008865182
T1188380,59273.69300619586
T1188381,28447.41298576741
T1188382,34932.32163462763
T1188383,29600.153052763417
T1188384,28447.41298576741
T1188385,38012.8777397436
T1188386,34932.32163462763
T1188387,59273.69300619586
T1188388,55414.12527281062
T1188389,29600.153052763417
T1188390,77413.9518478245
T1188391,34932.32163462763
T1188392,45370.709214633294
T1188393,59273.69300619586
T1188394,43103.01564045117
T1188395,34932.32163462763
T1188396,59273.69300619586
T1188397,34932.32163462763
T1188398,38012.8777397436
T1188399,34932.32163462763
T1188400,43296.3547517914
T1188401,34932.32163462763
T1188402,20491.526809152805
T1188403,59273.69300619586
T1188404,34932.32163462763
T1188405,34932.32163462763
T1188406,23580.027361631688
T1188407,54899.077338399664
T1188408,34932.32163462763
T1188409,40106.57220346139
T1188410,23580.027361631688
T1188411,54899.077338399664
T1188412,21862.797443081257
T1188413,34932.32163462763
T1188414,26740.996863512835
T1188415,34932.32163462763
T1188416,38012.8777397436
T1188417,47040.849860292285
T1188418,34932.32163462763
T1188419,45370.709214633294
T1188420,55414.12527281062
T1188421,20491.526809152805
T1188422,45370.709214633294
T1188423,55414.12527281062
T1188424,34932.32163462763
T1188425,34932.32163462763
T1188426,34932.32163462763
T1188427,55414.12527281062
T1188428,34932.32163462763
T1188429,59273.69300619586
T1188430,45370.709214633294
T1188431,34932.32163462763
T1188432,19507.73692457296
T1188433,54899.077338399664
T1188434,34932.32163462763
T1188435,29553.059491765223
T1188436,45370.709214633294
T1188437,55414.12527281062
T1188438,23580.027361631688
T1188439,45370.709214633294
T1188440,34932.32163462763
T1188441,28447.41298576741
T1188442,34932.32163462763
T1188443,34932.32163462763
T1188444,38012.8777397436
T1188445,34932.32163462763
T1188446,28411.81601897678
T1188447,59273.69300619586
T1188448,54899.077338399664
T1188449,34932.32163462763
T1188450,34932.32163462763
T1188451,47040.849860292285
T1188452,19507.73692457296
T1188453,45370.709214633294
T1188454,28447.41298576741
T1188455,59273.69300619586
T1188456,24329.002485706504
T1188457,26709.73008865182
T1188458,34932.32163462763
T1188459,59273.69300619586
T1188460,20491.526809152805
T1188461,43103.01564045117
T1188462,34932.32163462763
T1188463,21102.529042545102
T1188464,45370.709214633294
T1188465,34932.32163462763
T1188466,28447.41298576741
T1188467,28411.81601897678
T1188468,34932.32163462763
T1188469,34932.32163462763
T1188470,19507.73692457296
T1188471,34932.32163462763
T1188472,38012.8777397436
T1188473,38012.8777397436
T1188474,43296.3547517914
T1188475,19507.73692457296
T1188476,43271.02630690606
T1188477,34932.32163462763
T1188478,34932.32163462763
T1188479,19507.73692457296
T1188480,43103.01564045117
T1188481,47040.849860292285
T1188482,38012.8777397436
T1188483,47040.849860292285
T1188484,47040.849860292285
T1188485,26740.996863512835
T1188486,21102.529042545102
T1188487,37978.33359483273
T1188488,34932.32163462763
T1188489,34932.32163462763
T1188490,47040.849860292285
T1188491,34932.32163462763
T1188492,28447.41298576741
T1188493,28447.41298576741
T1188494,47040.849860292285
T1188495,28411.81601897678
T1188496,43296.3547517914
T1188497,28411.81601897678
T1188498,34932.32163462763
T1188499,34932.32163462763
T1188500,55146.89142284951
T1188501,28447.41298576741
T1188502,34932.32163462763
T1188503,28447.41298576741
T1188504,28447.41298576741
T1188505,28447.41298576741
T1188506,45370.709214633294
T1188507,34932.32163462763
T1188508,34932.32163462763
T1188509,28411.81601897678
T1188510,34932.32163462763
T1188511,28447.41298576741
T1188512,38012.8777397436
T1188513,29553.059491765223
